index,question,answer,source,scene,orig_uid,core_gt_objects,extended_gt_objects,prediction,pred_scene_structured,pred_gender_structured,pred_occupation_structured,pred_action_structured,parse_status
1,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bus, car, person, traffic light, truck",coco,street,coco_540561,"backpack, bus, car, person, traffic light, truck","backpack, bus, car, person, traffic light, truck","In the street, an unknown unknown is walking.",street,unknown,unknown,walking,strict_match
2,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","backpack, bicycle, bus, handbag, person, traffic light, truck",coco,street,coco_17192,"backpack, bicycle, bus, handbag, person, traffic light, truck","backpack, bicycle, bus, handbag, person, traffic light, truck","In the city scene, an unknown person is walking.",city scene,unknown,person,walking,strict_match
3,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bed, car, person",coco,street,coco_565563,"bed, car, person","bed, car, person","In the street scene, an unknown unknown is walking.",street scene,unknown,unknown,walking,strict_match
4,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, person",coco,street,coco_147830,"bus, person","bus, person","In the street, an unknown driver is driving.",street,unknown,driver,driving,strict_match
5,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, motorcycle, person, traffic light",coco,street,coco_213922,"bus, car, motorcycle, person, traffic light","bus, car, motorcycle, person, traffic light","""In the city street, an unknown unknown is riding a motorbike.""",city street,unknown,unknown,riding a motorbike,loose_match
6,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bus, car, person",coco,street,coco_578233,"bus, car, person","bus, car, person","In the street, an unknown driver is operating a bus.",street,unknown,driver,operating a bus,strict_match
7,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, truck",coco,street,coco_433643,"car, person, truck","car, person, truck","In the road scene, an unknown driver is driving.",road scene,unknown,driver,driving,strict_match
8,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","car, person, stop sign, traffic light, truck",coco,street,coco_469921,"car, person, stop sign, traffic light, truck","car, person, stop sign, traffic light, truck","In the street scene, an unknown driver is waiting at a stop sign.",street scene,unknown,driver,waiting at a stop sign,strict_match
9,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","cell phone, person, tie",coco,street,coco_148551,"cell phone, person, tie","cell phone, person, tie","""In the street scene, an unknown person is smoking.""",street scene,unknown,person,smoking,loose_match
10,"Describe the image using exactly one sentence in the format:
""In the [scene], a [gender] [occupation] is [action].""

Rules:
- Replace [scene], [gender], [occupation], and [action] with your best estimate from the image.
- If any field is uncertain, use ""unknown"" for that field.
- Do not add any extra details.
- Output exactly one sentence only.","bicycle, bus, cow, person",coco,street,coco_316499,"bicycle, bus, cow, person","bicycle, bus, cow, person","""In the street, an unknown unknown is standing.""",street,unknown,unknown,standing,loose_match
