image_id,index,source,scene,gender,race,skin_tone,pred_gender_forced,gender_parse_status,standard_answer,ai_generated_content,ground_truth_objects,predicted_nouns,matched_objects,hallucinated_objects,missed_gt_objects,chairi_like_sample,chairs_like_sample,pope_style_precision,pope_style_recall,pope_style_f1,faithscore,hallusionbench_applicable,__computed_missing_rate__
coco_281742,3566,coco,hospital,,,,male,strict_match,"bed, person","Gender: male

The image shows a hospital or medical setting. A male patient is lying in a bed covered with a brown blanket. The bed has a metal frame and is positioned against a wall. There are two other individuals standing next to the bed. One person is holding a piece of paper and appears to be wearing a dark uniform with red patches on the shoulders. The other person is wearing a light-colored traditional outfit and a dark cap. The wall behind the bed has a white electrical outlet or switch panel. The room has a tiled lower wall and a plain upper wall.","bed, person","bed, blanket, cap, frame, hospital, individuals, metal, outfit, outlet, panel, paper, patches, patient, person, piece, plain, room, shoulders, uniform, wall","bed, person","blanket, cap, frame, hospital, individuals, metal, outfit, outlet, panel, paper, patches, patient, piece, plain, room, shoulders, uniform, wall",,0.9,True,0.1,1.0,0.1818181818181818,,False,0.0
coco_314846,4143,coco,hospital,,,,male,strict_match,"bed, person, remote","Gender: male

The image shows a man sitting on a bed with a baby on his lap. The man is wearing a white t-shirt and dark shorts. He is holding a white game controller in his hands. The baby, dressed in a pink outfit, is also holding a part of the game controller. The bed has a colorful floral-patterned bedspread with shades of red, pink, yellow, and white. In the background, there is a bedside table with some items on it, including what appears to be a lamp. The room has a warm, cozy ambiance.","bed, person, remote","ambiance, baby, bed, bedside, bedspread, controller, game, hands, items, lamp, lap, outfit, person, pink, room, shades, shorts, t-shirt, table, warm","bed, person","ambiance, baby, bedside, bedspread, controller, game, hands, items, lamp, lap, outfit, pink, room, shades, shorts, t-shirt, table, warm",remote,0.9,True,0.1,0.6666666666666666,0.1739130434782609,,False,0.3333333333333333
coco_320015,4372,coco,hospital,,,,male,strict_match,"bed, person","Gender: male

The image shows a person who appears to be male, mid-air, seemingly jumping or falling onto a bed. He is wearing a white t-shirt and blue jeans. His arms are extended forward, and his legs are bent slightly at the knees. The bed below him has white sheets and appears to be unmade. The room has beige walls, and there is a mirror on the left side of the image reflecting part of the room. There is also a door visible in the background, partially open, leading to another part of the room. The overall setting suggests a casual, indoor environment, possibly a hotel room or a bedroom.","bed, person","arms, bed, bedroom, door, hotel, jeans, knees, legs, mirror, person, room, sheets, t-shirt, walls","bed, person","arms, bedroom, door, hotel, jeans, knees, legs, mirror, room, sheets, t-shirt, walls",,0.8571428571428571,True,0.1428571428571428,1.0,0.25,,False,0.0
coco_448837,3207,coco,hospital,,,,male,strict_match,"bed, donut, person","Gender: male

The image shows a person lying on a bed with white pillows and a white sheet. The person is wearing a grey t-shirt with orange trim on the sleeves. The background wall is red, and there is an electrical outlet and a device (possibly a phone charger) plugged into it on the wall above the bed. The date ""06/07/2007"" is visible in the bottom right corner of the image.","bed, donut, person","bed, charger, corner, date, device, orange, outlet, person, phone, pillows, sheet, sleeves, t-shirt, trim, wall","bed, person","charger, corner, date, device, orange, outlet, phone, pillows, sheet, sleeves, t-shirt, trim, wall",donut,0.8666666666666667,True,0.1333333333333333,0.6666666666666666,0.2222222222222222,,False,0.3333333333333333
coco_449850,4398,coco,hospital,,,,male,strict_match,"bed, chair, clock, couch, laptop, person, potted plant, tv","Gender: male

The image shows a man lying on a bed in a hotel room. He is wearing a black t-shirt and brown shorts. The bed is made with white sheets and pillows, and there is a beige blanket at the foot of the bed. The man has a laptop on the bed in front of him, and he appears to be using it. 

In the background, there is a large mirror on the wall behind the bed, reflecting the room. A television is mounted on a cabinet to the left of the bed, and there is a vase with flowers on top of the cabinet. To the right of the television, there is a small table with a chair. 

On the right side of the image, there is a black leather couch. The room has beige walls and a white door, which appears to be the entrance to the room. There are also some personal items on the bedside table, including a water bottle and some toiletries. 

In the mirror's reflection, a person is visible taking a photo with a camera, and another person is standing next to them. The room is well-lit, and the overall atmosphere appears to be casual and relaxed.","bed, chair, clock, couch, laptop, person, potted plant, tv","bed, bedside, blanket, bottle, cabinet, camera, chair, couch, door, entrance, flowers, foot, front, hotel, items, laptop, leather, left, mirror, person, pillows, reflection, right, room, sheets, shorts, t-shirt, table, television, toiletries, top, vase, wall, walls, water","bed, chair, couch, laptop, person","bedside, blanket, bottle, cabinet, camera, door, entrance, flowers, foot, front, hotel, items, leather, left, mirror, pillows, reflection, right, room, sheets, shorts, t-shirt, table, television, toiletries, top, vase, wall, walls, water","clock, potted plant, tv",0.8571428571428571,True,0.1428571428571428,0.625,0.2325581395348837,,False,0.375
coco_312686,4442,coco,hospital,,,,male,strict_match,"car, clock, person, truck","Gender: male

The image depicts a tall clock tower situated in an urban setting. The clock tower is constructed from stone and features a clock face near the top. There are balconies or ledges at different levels of the tower. Surrounding the tower are several trees, including some tall, slender ones that appear to be cypress trees. 

In the foreground, a man is walking across the street, dressed in a uniform that suggests he might be a soldier or a police officer. Behind him, there are a few vehicles, including an old-fashioned car and a bus or truck. The street is relatively empty, with only a few other people visible in the background. The buildings around the clock tower are of a similar architectural style, with some having tiled roofs. The overall scene appears to be from an earlier time period, possibly the early to mid-20th century.","car, clock, person, truck","balconies, buildings, bus, car, century, clock, face, ledges, levels, officer, ones, period, person, roofs, soldier, stone, street, style, tall, time, top, tower, trees, truck, uniform, vehicles","car, clock, person, truck","balconies, buildings, bus, century, face, ledges, levels, officer, ones, period, roofs, soldier, stone, street, style, tall, time, top, tower, trees, uniform, vehicles",,0.8461538461538461,True,0.1538461538461539,1.0,0.2666666666666667,,False,0.0
coco_132750,3620,coco,hospital,,,,male,strict_match,"bed, person, teddy bear","Gender: male

The image shows a young boy sitting in a wooden crib or toddler bed. The bed is filled with a variety of stuffed animals, including a monkey, a snake, a platypus, a cat, and several other plush toys. The boy is wearing a blue shirt and appears to be surrounded by his collection of stuffed animals. The bed has a striped green and white bedsheet. In the background, there is a wall with a small piece of colorful fabric or artwork hanging on it. The floor is carpeted, and there is a small round table or nightstand next to the bed.","bed, person, teddy bear","animals, artwork, bed, bedsheet, cat, collection, crib, fabric, floor, green, monkey, nightstand, person, piece, platypus, plush, round, shirt, snake, table, toddler, toys, variety, wall","bed, person","animals, artwork, bedsheet, cat, collection, crib, fabric, floor, green, monkey, nightstand, piece, platypus, plush, round, shirt, snake, table, toddler, toys, variety, wall",teddy bear,0.9166666666666666,True,0.08333333333333333,0.6666666666666666,0.1481481481481481,,False,0.3333333333333333
coco_239119,4181,coco,hospital,,,,male,strict_match,"backpack, bed, person, tv","Gender: male

The image shows a hotel room with a person lying on a bed. The person is wearing a dark-colored sweatshirt with white text on it and green pants. The bed is unmade, with white sheets and pillows scattered around. 

In the room, there is a wooden cabinet with a television on top of it to the left side of the image. Next to the cabinet, there is a small table with a kettle and some cups. A backpack is placed on the floor near the cabinet. 

On the right side of the image, there is a wall-mounted lamp above the bed. The room has a carpeted floor and light-colored walls. In the background, there is a doorway leading to what appears to be a bathroom, with a towel hanging on the door. There is also a full-length mirror on the wall near the doorway. The room has a modern and functional design.","backpack, bed, person, tv","backpack, bathroom, bed, cabinet, cups, design, door, doorway, floor, hotel, kettle, lamp, mirror, pants, person, pillows, room, sheets, sweatshirt, table, television, text, top, towel, wall, walls","backpack, bed, person","bathroom, cabinet, cups, design, door, doorway, floor, hotel, kettle, lamp, mirror, pants, pillows, room, sheets, sweatshirt, table, television, text, top, towel, wall, walls",tv,0.8846153846153846,True,0.1153846153846154,0.75,0.2,,False,0.25
coco_318646,3915,coco,hospital,,,,male,strict_match,"bed, book, person, tv","Gender: male

The image shows a person lying on a bed with their legs stretched out, wearing brown shorts. The bed is cluttered with various items. On the left side, there is a red Staples box labeled ""copy paper"" and another box with some items inside. There are clothes, including a black shirt and a white towel, folded and placed on the bed. A green and white item, possibly a pillow or cushion, is also visible. In the background, there is an open closet with hanging clothes and a bookshelf with various items, including another red Staples box. The bed has a wooden headboard, and the room appears to be well-lit with natural light coming from the left side.","bed, book, person, tv","bed, bookshelf, box, closet, clothes, copy, cushion, hanging, headboard, item, items, legs, light, paper, person, pillow, room, shirt, shorts, staples, towel","bed, person","bookshelf, box, closet, clothes, copy, cushion, hanging, headboard, item, items, legs, light, paper, pillow, room, shirt, shorts, staples, towel","book, tv",0.9047619047619048,True,0.09523809523809523,0.5,0.16,,False,0.5
coco_437872,1978,coco,hospital,,,,male,strict_match,"bed, person","Gender: male

The image shows a man sitting on a bed, combing the hair of a young child. The man is wearing an orange polo shirt with white stripes and blue jeans. He has a wristband on his left wrist. The child, who is sitting in front of him, is wearing an orange shirt and dark pants. The bed they are sitting on has a blue and white patterned mattress cover. In the background, there are two white pillows stacked on the bed. The room has a window with a grid pattern on the right side. The walls are plain and light-colored.","bed, person","bed, blue, child, cover, front, hair, jeans, mattress, orange, pants, pattern, person, pillows, polo, room, shirt, stripes, walls, window, wrist, wristband","bed, person","blue, child, cover, front, hair, jeans, mattress, orange, pants, pattern, pillows, polo, room, shirt, stripes, walls, window, wrist, wristband",,0.9047619047619048,True,0.09523809523809523,1.0,0.1739130434782608,,False,0.0
