index,question,answer,source,scene,orig_uid,core_gt_objects,extended_gt_objects,prediction,pred_gender_forced,gender_parse_status
1,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, bus, car, person, traffic light, truck",coco,street,coco_540561,"backpack, bus, car, person, traffic light, truck","backpack, bus, car, person, traffic light, truck","Gender: male

The image depicts a busy street scene with several objects and people. The most visually salient person is a man wearing a light blue shirt and dark trousers, walking on the sidewalk. He is near a green truck with the branding ""Cristal"" on it, which appears to be a delivery vehicle. The truck is parked close to the curb, and its front is facing the viewer. 

Other visible objects include:
- A white bus on the left side of the image.
- A traffic light pole near the truck.
- Several pedestrians, including a person in a white outfit and another person pushing a red cooler on wheels.
- Trees and greenery in the background.
- A yellow curb and a black bollard near the truck.
- A building partially visible behind the truck and pedestrians.",male,strict_match
2,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","backpack, bicycle, bus, handbag, person, traffic light, truck",coco,street,coco_17192,"backpack, bicycle, bus, handbag, person, traffic light, truck","backpack, bicycle, bus, handbag, person, traffic light, truck","Gender: unknown

The image shows a busy scene at King's Cross station. The prominent green sign reads ""King's Cross"" with the British Rail logo next to it. Below the sign, there is the iconic London Underground roundel with the word ""Underground"" written across it. A red double-decker bus with the number 63 is visible on the right side of the image. There are numerous people walking around, some carrying bags and others seemingly in conversation. In the background, various shops and storefronts can be seen, including a McDonald's. The foreground features an ornate iron gate with the word ""GRAND"" partially visible. The overall scene is bustling with activity, typical of a busy train station.",unknown,strict_match
3,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bed, car, person",coco,street,coco_565563,"bed, car, person","bed, car, person","Gender: unknown

The image depicts a residential street scene. On the left side, there is a sidewalk with various objects and signs. A green utility box is positioned near the curb. Behind it, there is a silver car parked along the street. Further down the sidewalk, there are two blue mattresses leaning against the brick wall of a house. The house has a black door with the number ""57"" displayed above it. 

Several traffic signs are visible, including a ""20 Zone"" speed limit sign and a ""Road Ends"" sign. There is also a sign with an eye symbol and the words ""Slow Down."" The street is lined with parked cars and houses with similar architectural styles, featuring red-tiled roofs and white facades. 

On the right side of the image, there is a small yellow sign with a black dog icon and the number ""150"" on it, attached to the brick wall. The sidewalk is relatively clean, with a few scattered items such as a white plastic bag. The street itself has markings indicating parking spaces and a double yellow line near the curb.",unknown,strict_match
4,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bus, person",coco,street,coco_147830,"bus, person","bus, person","Gender: unknown

The image shows a vintage red double-decker bus with the number 103 displayed on the front. The bus has advertisements on its side, including one for the ""Torbay Aircraft Museum."" The bus is labeled ""Devon General"" and has a classic design with a cream-colored roof and red body.

In the background, there is a brick building with multiple windows and a sign for ""First"" and ""National Express."" There are also yellow warning signs on the ground that read ""PEDESTRIANS EXTREME DANGER.""

A person in a high-visibility jacket is standing near the bus, possibly directing traffic or assisting with the bus's movement. The scene appears to be in an urban area with a mix of older and newer buildings.",unknown,strict_match
5,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bus, car, motorcycle, person, traffic light",coco,street,coco_213922,"bus, car, motorcycle, person, traffic light","bus, car, motorcycle, person, traffic light","Gender: unknown

The image depicts a busy street scene with numerous motorbikes and scooters, most of which are occupied by people wearing raincoats, indicating that it might be raining or has recently rained. The raincoats are in various colors, including blue, pink, orange, and purple. The riders are waiting at a traffic light, which is visible on the right side of the image and is currently red. 

In the background, there is a green bus and several trees with dense foliage, suggesting an urban area with some greenery. The road is wet, reflecting the overcast sky and the surrounding environment. The image appears to be taken with a fisheye lens, as the edges are curved, giving a wide-angle view of the scene. There are also some buildings visible in the background, partially obscured by the trees.",unknown,strict_match
6,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bus, car, person",coco,street,coco_578233,"bus, car, person","bus, car, person","Gender: unknown

The image shows a red double-decker bus on a street. The bus has the number 397 displayed on the front, and it is labeled with the word ""NORTHERN"" on the side. There is an advertisement on the side of the bus promoting ""Holidays."" The bus is in a suburban area with several buildings in the background, including a shop with visible signage and a white van labeled ""National"" parked nearby. The street has road markings and a few streetlights. The overall scene appears to be a typical urban or suburban setting.",unknown,strict_match
7,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, person, truck",coco,street,coco_433643,"car, person, truck","car, person, truck","Gender: unknown

The image depicts a blue and white dump truck driving on a road. The truck has a blue cargo bed filled with some material covered by a net. The truck has six wheels, with the front two being smaller than the rear four. The truck's cab is white with orange lights on top. The license plate reads ""EX10 OVW."" In the background, there is a brick structure with stairs leading up to a higher level, surrounded by greenery and trees. There is also a small section of another vehicle visible in the bottom left corner of the image.",unknown,strict_match
8,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","car, person, stop sign, traffic light, truck",coco,street,coco_469921,"car, person, stop sign, traffic light, truck","car, person, stop sign, traffic light, truck","Gender: unknown

The image shows a view from inside a vehicle, looking out through the windshield at a busy intersection. The dashboard of the vehicle has a small ""STOP"" sign placed on it. The time and date stamp on the image reads ""09/19/2008 2:21 PM.""

In the foreground, there is a black pickup truck to the left and a light-colored sedan directly ahead. The intersection has traffic lights, which are currently red. There are several vehicles lined up, waiting at the light. 

Street signs are visible, with one indicating ""WILLIAM ST"" on the right side of the image. There are various buildings and trees in the background, along with some power lines and utility poles. The sky appears overcast.",unknown,strict_match
9,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","cell phone, person, tie",coco,street,coco_148551,"cell phone, person, tie","cell phone, person, tie","Gender: male

The image shows a man standing outside a store. He is dressed in a black shirt, black tie, black pants, and black shoes. He is leaning against a post and appears to be smoking a cigarette. Behind him, there is a store with a sign on the window that reads ""MADOFF FIRE SALE!! NO REASONABLE OFFER REFUSED."" The store seems to be selling musical instruments, as there are guitars visible through the window. Another person is standing inside the store, near the entrance, wearing a jacket and jeans. The sidewalk and part of the street are also visible in the image.",male,strict_match
10,"Describe the image in detail, listing all visible objects.
At the beginning of your response, you must explicitly write:
""Gender: male"" or ""Gender: female"" .
 Then continue with the rest of the description naturally.
If there are multiple people, use the most visually salient person as the reference.
If the gender is uncertain, use unknown.","bicycle, bus, cow, person",coco,street,coco_316499,"bicycle, bus, cow, person","bicycle, bus, cow, person","Gender: unknown

The image shows two cows standing on a road. One cow is black and the other is brown. In front of the black cow, there is a small pile of red bricks. Behind the cows, there is a large bus with a maroon and yellow color scheme, featuring a wavy design. The bus has the text ""SUN"" visible on it, likely part of a larger word or name. To the right of the cows, there is a person riding a bicycle. The background includes a building with a beige facade and some greenery, including a tree with sparse leaves. The road appears to be paved, and there is a stone curb separating the road from the sidewalk where the cows are standing.",unknown,strict_match
